Text,Environmental Negative,Environmental Neutral,Environmental Positive,Governance Negative,Governance Neutral,Governance Positive,Social Negative,Social Neutral,Social Positive,__index_level_0__
"Also, its U.S.-based plants have voluntarily participated in the American Chemistry Council’s Responsible Care® initiative for more than a decade.",0,0,1,0,0,1,0,0,1,174
"Investors are concerned that Chevron has not adequately addressed climate change – a massive risk that is already manifest and set to intensify over time via regulation, energy price swings, and growing uncertainty around the value of fossil fuel reserves.",1,0,0,1,0,0,0,0,0,460
"The Board should summarize its findings to shareholders by January 31, 2022, and the report should be completed at reasonable cost and omitting proprietary information.",0,0,0,0,1,0,0,0,0,356
These Committees regularly assess risks and opportunities related to climate change.,0,0,0,0,0,1,0,0,0,80
"Historically, releases from CPChem’s petrochemical operations have exceeded legal limits, exposing the company to liability.",1,0,0,1,0,0,0,0,0,154
"The U.S. joined the Global Methane Pledge, committing to using best available inventory methodologies to quantify methane emissions.",0,0,1,0,0,1,0,0,0,584
Your Board recommends a vote AGAINST this proposal because Chevron already provides extensive disclosure on its lobbying activities and expenditures.,0,0,0,0,1,0,0,0,0,8
"However, Chevron has yet to fully report these risks in either public filings or statements to shareholders.",0,0,0,1,0,0,0,0,0,239
"In a March 4, 2014, ruling that held that the Ecuadorian judgment was unenforceable in the United States and the plaintiffs’ counsel was liable for racketeering under the RICO statute, the U.S. District Court for the Southern District of New York (“SDNY”) found that the plaintiffs’ team “wrote the [Ecuadorian] court’s Judgment themselves and promised $500,000 to the Ecuadorian judge to rule in their favor and sign their judgment.”",0,0,0,1,0,0,0,0,0,262
"While the ultimate responsibility for climate strategy should fall on the full board, a board committee can conduct a more focused review than the full board, and therefore better inform and strengthen board decision making by:",0,0,1,0,0,1,0,0,0,51
“Climate change poses a major risk to the stability of the U.S. financial system and to its ability to sustain the American economy” according to the United States’ Commodity Futures Trading Commission.,1,0,0,0,1,0,0,0,0,374
Chevron intends to reach these goals through innovation and top-tier performance.,0,0,0,0,0,1,0,0,0,548
"In 2021, a Dutch court ordered Shell to severely reduce their worldwide emissions (Scope 1, 2, and 3) by 2030.",0,0,1,0,0,1,0,0,0,535
"Shareholders request the Company to substantially reduce the greenhouse gas (GHG) emissions of their energy products (Scope 3) in the medium- and long- term future, as defined by the Company.",0,0,1,0,0,1,0,0,0,310
"RESOLVED: Shareowners request that the Board of Chevron Corporation take the steps necessary to amend Company bylaws and appropriate governing documents to give holders of 10% of outstanding common stock the power to call a special shareowners meeting. To the fullest extent permitted, such bylaw shall not contain exceptions or excluding conditions that apply to shareowners but not to the management or Board.",0,0,0,0,0,1,0,0,0,653
Chevron has acknowledged the serious risk from enforcement of the $9.5 billion judgment.,0,0,0,0,0,0,1,0,0,457
"Investors are also calling for high-emitting companies to test their financial assumptions and resiliency against substantial reduced-demand climate scenarios,4 and to provide investors insights about the potential impact on their financial statements.5,6,7",0,1,0,0,0,1,0,0,0,346
"Corporate lobbying activities that are inconsistent with meeting the goals of the Paris Agreement present regulatory, reputational and legal risks to investors.",1,0,0,1,0,0,0,0,0,99
"Chevron’s management of community-related issues is integrated into its Operational Excellence Management System (“OEMS”), which is available on Chevron’s website.",0,0,0,0,0,1,0,0,1,207
"Policy decisions can significantly affect Chevron’s strategies, capital investments, operations and, ultimately, stockholder value.",0,0,0,0,1,0,0,0,0,16
"Chevron’s employees are proud of their role in providing affordable, reliable, and ever-cleaner energy that people around the world depend on every day.",0,0,0,0,0,0,0,0,1,341
"We therefore encourage you to reduce emissions, inspiring society, employees, shareholders, and the energy sector, and allowing the company to meet an increasing demand for energy while reducing GHG emissions to levels consistent with curbing climate change.",0,0,1,0,0,1,0,0,1,323
The health and safety of the communities in which Chevron Phillips Chemical operates is of a paramount concern.,0,0,0,0,0,0,0,0,1,176
"In Canada, stakeholder engagement for the Kitimat liquified natural gas project led to the creation of the First Nations Limited Partnership, intended to ensure that all 16 First Nations bands whose territories are along the Pacific Trail Pipeline route would be able to benefit economically from the project.",0,0,0,0,0,0,0,0,1,220
"In the 2019 Corporate Human Rights Benchmark, Chevron received zero points on remedy, evaluating effectiveness of human rights actions, and communicating how impacts are addressed.",0,0,0,1,0,0,1,0,0,195
"We believe that Paris-aligned climate lobbying helps to mitigate these risks, and contributes positively to the long-term value of our investment portfolios.",0,0,1,0,0,0,0,0,1,101
The OE framework guides Chevron Phillips Chemical’s efforts in the design of facilities.,0,0,1,0,0,1,0,0,1,171
"As fiduciaries, our board is responsible for stewardship of business performance and long-term strategic planning, in light of risk factors like climate science and policy.",0,0,1,0,0,1,0,0,0,63
The Board continues to believe this By-Law is in the stockholders’ best interests and provides appropriate and reasonable limitations on the right to call special meetings.,0,0,0,0,0,1,0,0,0,244
"peers (Shell, bp, TotalEnergies) have released more transparent disclosures in their audited financial statements, articulating the extent of consideration of climate change contingencies and risks.",0,0,0,0,0,1,0,0,0,561
"Finally, although the proposal purports to relate to special meetings, its supporting statement shows that this is a vehicle to discuss the fraudulent Ecuador litigation and various frivolous allegations against Chevron.",0,0,0,1,0,0,0,0,0,678
Your Board is confident that the Company’s lobbying and political activities – and association memberships – are aligned with Chevron’s goals and the long-term interests of our stockholders.,0,0,0,0,0,1,0,0,0,138
It is in investors’ interest to reduce climate externalities to protect long-term returns.,0,0,1,0,0,1,0,0,0,377
"Other examples are available in Chevron’s Corporate Responsibility Report and in the Corporate Responsibility case studies, which are on Chevron’s website.",0,1,0,0,1,0,0,1,0,222
"Despite the materiality of this issue, Chevron’s audited annual disclosures do not currently provide investors with sufficient insight into assumptions used to assess productive assets for impairment and stranded asset risk.",0,0,0,1,0,0,0,0,0,559
"Therefore, shareholders support oil and gas companies to change course; to substantially reduce emissions.",0,0,1,0,0,0,0,0,0,313
"Rather, your Board believes that stockholder interests are best served when Directors have the flexibility to determine the best person to serve as Chairman, recognizing that no single leadership model is appropriate in all circumstances.",0,0,0,0,0,1,0,0,0,491
"Itemized in each report are all contributions to candidates, organizations, and committees as well as those related to ballot measures.",0,0,0,0,0,1,0,0,0,31
Chevron’s social investments strive to empower people to improve their lives and meet their full potential.,0,0,0,0,0,0,0,0,1,383
Chevron recognizes that the use of fossil fuels to meet the world’s ever-growing energy needs is a contributor to rising levels of greenhouse gases (“GHGs”) in the earth’s atmosphere.,1,0,0,0,0,0,0,0,0,123
"However, Chevron believes that through continuous participation with these organizations it has the best opportunity to influence their positions in a manner that aligns with the long-term interests of its stockholders.",0,0,0,0,0,1,0,0,0,22
"Chevron addresses the risks and opportunities presented by the global transition toward a lower-emissions energy system through its three strategic action areas: (1) lower carbon intensity cost efficiently, (2) increase renewables and offsets in support of our own business, and (3) invest in low-carbon technologies to enable commercial solutions.",0,0,1,0,0,1,0,0,0,386
"ICRtoP lists several countries, cited by the United Nations and civil society organizations, in which Chevron is currently producing oil and gas: Burma (Myanmar), Democratic Republic of Congo, and Nigeria.",0,0,0,1,0,0,1,0,0,609
"The Company’s policies and processes address the concerns raised in the proposal, and a separate report is not an effective way to achieve the stated objectives.",0,0,0,0,0,1,0,0,0,202
"Chevron supports the goals of the Paris Agreement and is committed to lowering our portfolio carbon intensity, on a full-cycle basis, and to being transparent about our progress.",0,0,1,0,0,1,0,0,0,563
"Chevron received a similar proposal last year, seeking an audited report on how the energy sector pathway hypothesized in the IEA Net Zero 2050 scenario (NZE 2050) would affect Chevron’s financial position and underlying assumptions.",0,0,0,0,1,0,0,0,0,564
"It is essential, therefore, for Chevron to exercise its fundamental right and responsibility to participate in the public policymaking process.",0,0,0,0,0,1,0,0,0,119
In light of these serious matters – which evidence a lack of accountability in Chevron’s C-suite and board room – shareholders need strengthened capacity to call a special meeting.,0,0,0,1,0,0,1,0,0,667
The report requested in the proposal would not lead to enhanced protection against the physical risks of climate change.,1,0,0,0,1,0,0,0,0,179
"A list of trade association memberships in which annual dues paid are $100,000 or more and wherein a portion of the dues may be used for lobbying.",0,0,0,0,0,1,0,0,0,32
The board should consider the need for staffing to adequately resource the committee.1,0,0,0,0,0,1,0,0,0,58
Peer Shell produced an “Industry Associations Climate Review” report to ensure its trade association participation aligned with its views.,0,0,0,0,0,1,0,0,0,417
"As a result, investors have requested that the U.S. Securities and Exchange Commission investigate whether Chevron violated securities laws by misrepresenting or materially omitting information in regard to the multi-billion Ecuadoran judgment.",0,0,0,1,0,0,0,0,0,240
"Chevron’s Business Conduct and Ethics Code underscores our commitment to diversity and inclusion, as well as our respect for human rights.",0,0,0,0,0,1,0,0,1,645
